brand,product_code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
Bahia,6111035003509,"Bahia, Eau De Table",5.4,22.59,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,1.0,0.0,0.0,0.0,Low,Low,False
Elle & Vire,3480341000674,Carré Frais,90.46,378.48,4.5,2.9,0.3,0.2,16.0,2.88,1.28,0.51,3.0,1.0,0.0,0.64,Low,Low,False
margafrique,6111203001474,La prairie classique,642.0,2686.13,0.7,0.0,70.0,0.0,1.0,2.6,0.0,0.0,4.0,0.0,0.0,0.0,High,Low,True
Nature Valley,8410076801180,Crunchy oats & honey,196.2,820.9,27.0,11.3,7.6,0.9,3.6,2.7,0.36,0.14,4.0,13.0,0.0,0.42,Medium,Medium,True
Ferrero,4008400401621,Nutella,84.6,353.97,8.6,8.4,4.6,1.6,0.9,2.6,0.02,0.01,4.0,31.0,13.0,0.98,Low,Medium,True
Unknown Brand,6111032000631,Salim,69.84,292.21,6.66,4.8,3.0,2.0,3.0,2.1,58.1,23.24,1.6,0.0,0.0,0.72,Low,Low,False
"Kinder,Kinder Bueno",80052760,2 Bars Milk and Hazelnuts,572.1,2393.67,49.5,41.2,37.3,17.3,8.6,2.0,0.27,0.11,4.0,30.0,10.5,0.83,High,High,True
Jaouda,6111242102002,Ghilal Yaourt zr3,107.2,448.52,16.0,7.5,3.0,2.2,3.5,1.1,0.0,0.0,4.0,3.0,0.0,0.47,Medium,Medium,True
Gerblé,3251490332080,Figue & son,450.2,1883.64,54.0,16.0,19.0,1.7,9.3,13.0,0.19,0.08,4.0,2.0,16.3,0.3,High,High,True
Gerblé,3175680015228,Levure de bière,323.4,1353.11,12.0,1.2,4.6,0.8,46.0,25.0,0.32,0.13,1.0,-1.8,0.0,0.1,High,Low,False
Bjorg,3229820160672,Croustillant Chocolat,432.8,1810.84,62.0,14.0,14.0,3.8,9.8,9.8,0.28,0.11,4.0,7.0,0.22,0.23,High,Medium,True
Coca-Cola,5449000133328,Coca-Cola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,4.0,4.0,0.0,0.0,Low,Low,True
Coca-Cola,5449000131836,Zero Sugar,5.2,21.76,0.0,0.0,0.0,0.0,0.0,2.6,0.05,0.02,4.0,4.0,0.0,0.0,Low,Low,True
"La Boulangère,La Boulangère Bio",3760049790214,Pain De Mie Bio,268.0,1121.31,47.0,6.3,4.2,0.4,8.1,4.9,1.1,0.44,4.0,4.0,3.15,0.13,Medium,Medium,True
"Lidl, Rowan Hill Bakery, Lidl Rowan Hill Bakery, Lidl Tastino",20006105,Wholegrain Rye Bread,210.0,878.64,38.0,3.9,1.8,0.3,5.8,9.3,1.0,0.4,4.0,0.0,0.0,0.1,Medium,Low,True
Lindt&Sprüngli,3046920028721,Bitter Extra Kraftig,281.26,1176.79,4.5,0.2,25.5,14.5,7.0,2.88,0.03,0.01,3.0,13.0,0.0,0.04,Medium,Low,False
Hovis,5010003064744,Seed Sensations,122.3,511.7,18.5,1.7,2.9,0.3,4.4,2.3,0.38,0.15,4.0,1.0,1.39,0.09,Medium,Low,True
Parmentier,3019081238643,Sardines Huile d'Olive Vierge Extra,232.76,973.87,0.0,0.0,15.0,3.5,23.0,2.88,1.2,0.48,3.0,28.0,13.23,0.0,Medium,Low,False
Coca-Cola,5449000000439,Coca-Cola,47.6,199.16,10.6,10.6,0.0,0.0,0.0,2.6,0.03,0.01,4.0,12.0,0.0,1.0,Low,Medium,True
Lesieur,6111024001516,"Huile de table équilibrée riche en vitamines A,E,D3",905.2,3787.36,0.0,0.0,100.0,15.0,0.0,2.6,0.0,0.0,4.0,5.0,14.38,0.0,High,Low,True
Nestlé,7613035040823,Nestlé Dessert,548.3,2294.09,50.7,46.4,34.1,20.2,6.0,7.3,0.01,0.0,4.0,25.0,0.0,0.92,High,High,True
Bé,6111259342828,Petit beurre,426.3,1783.64,60.0,15.3,17.5,8.5,6.6,1.2,0.23,0.09,4.0,18.0,0.0,0.26,High,High,True
Mont Roucous,3257971309114,Eau minérale naturelle,5.4,22.59,0.0,0.0,0.0,0.0,0.0,2.7,7.5,3.0,1.0,0.0,0.0,0.0,Low,Low,False
Unknown Brand,7322540548563,jempo,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
Unknown Brand,7640154260283,Unknown Product,65.62,274.55,11.26,2.8,0.9,0.2,2.22,1.8,26.05,10.42,2.2,-0.4,0.0,0.25,Low,Low,False
Pasquier,3256540000698,Pains au lait x10,360.4,1507.91,55.0,11.0,11.0,4.0,8.6,3.5,0.0,0.0,4.0,6.0,2.33,0.2,High,Medium,True
"Ferrero,Nutella",8000500179864,Nutella,538.1,2251.41,57.2,56.3,30.9,10.6,6.3,3.0,0.11,0.04,4.0,31.0,13.0,0.98,High,High,True
Milka,3045140105502,Chocolat au lait,537.6,2249.32,57.0,55.0,31.0,19.0,6.5,2.3,0.28,0.11,4.0,32.0,0.35,0.96,High,High,True
Heinz,50457250,Tomato Ketchup,104.26,436.22,23.2,22.8,0.1,0.1,1.2,2.88,1.8,0.72,3.0,13.0,60.9,0.98,Medium,High,False
Star,6111184001203,Moutarde,163.95,685.97,7.07,1.94,11.19,0.71,7.44,2.6,6.54,2.62,4.0,21.0,0.0,0.27,Medium,Low,True
New York Bakery Co,5020364010113,Bakery Co. 5 The Original Bagels,224.2,938.05,42.0,4.4,2.2,0.8,7.8,2.6,0.19,0.08,3.0,0.0,2.75,0.1,Medium,Low,False
Coca-Cola,42105220,Coca Cola,47.6,199.16,10.6,10.6,0.0,0.0,0.0,2.6,0.0,0.0,4.0,12.0,0.0,1.0,Low,Medium,True
Yeo Valley Organic,5036589252450,Yeo Valley Organic kefir natural fermented yogurt,64.7,270.7,5.4,5.4,2.1,1.4,4.7,2.7,0.64,0.26,1.0,6.0,0.0,1.0,Low,Medium,False
"Nestlé, Ricore",3033710073467,RICORE Original,142.3,595.38,9.1,9.1,0.5,0.1,2.7,45.3,0.23,0.09,4.0,0.0,63.0,1.0,Medium,Medium,True
La Boulangère,3284230006408,Brioche Tranchée Bio 400g,335.6,1404.15,52.0,13.0,9.4,0.9,8.8,3.9,0.95,0.38,4.0,10.0,0.0,0.25,High,Medium,True
Jaouda,6111242103528,Croissance réduit en sucre,64.2,268.61,7.7,0.8,2.6,0.0,2.5,0.0,0.08,0.03,4.0,4.0,6.04,0.1,Low,Low,True
Mondelez International,7622201693916,Philadelphia,228.2,954.79,4.3,4.3,21.0,14.0,5.4,0.2,0.75,0.3,4.0,14.0,0.0,1.0,Medium,Low,True
Jaouda,6111242105331,Beurre Frais Pasteurisé,746.96,3125.28,1.0,1.0,82.0,56.0,0.1,2.28,0.0,0.0,3.4,20.0,0.0,1.0,High,Low,False
les Eaux Minérales d’Oulmes,6111035502941,Eau minérale naturelle gazeuse,5.4,22.59,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,1.0,0.0,0.0,0.0,Low,Low,False
"Orangina Schweppes France,Pulco,Schweppes International Limited",3225350000501,BLE 70CL CITRON PULCO,13.6,56.9,0.8,0.4,0.0,0.0,0.1,5.0,0.01,0.0,1.0,0.0,47.5,0.5,Low,Low,False
Heinz,87157215,Tomato Ketchup,104.26,436.22,23.2,22.8,0.1,0.1,1.2,2.88,1.8,0.72,3.0,13.0,61.8,0.98,Medium,High,False
Fairglobe,40896243,Bio Chocolat Noir Cacao 70%,56.8,237.65,3.5,2.8,4.2,2.5,0.9,0.7,0.0,0.0,4.0,21.0,0.0,0.8,Low,Low,True
Heinz,50457243,Tomato Ketchup,104.26,436.22,23.2,13.99,0.1,0.02,1.2,2.88,6.42,2.57,3.0,16.0,58.48,0.6,Medium,Medium,False
Hellmann's,8722700479475,Real Mayonnaise,726.2,3038.42,1.4,1.3,79.0,6.2,1.1,2.6,1.2,0.48,4.0,20.0,78.1,0.93,High,Low,True
Excelo,6111259343344,King cookies choco,482.4,2018.36,60.4,31.2,24.0,12.0,5.4,1.6,0.27,0.11,3.8,25.0,0.0,0.52,High,High,False
Sweet-Land,10614594,Granatapfel Sauerkirsche Fruchtgummi,212.7,889.94,27.7,10.4,9.5,0.8,2.2,3.8,95.85,38.34,1.2,0.0,0.0,0.38,Medium,Medium,False
Bertolli,8719200237902,Vegetable Fat Spread with 10% Olive Oil,540.2,2260.2,0.5,0.5,59.0,17.0,0.5,2.6,1.1,0.44,4.0,14.0,42.3,1.0,High,Low,True
Barilla,8076809523547,Pesto Rosso,328.8,1375.7,12.0,7.8,29.0,3.4,3.8,2.3,2.8,1.12,4.0,21.0,60.0,0.65,High,Medium,True
Sunny Via,3088543506255,Sirop d'Agave,1647.5,6893.14,402.5,395.0,2.5,0.0,2.5,2.5,0.0,0.0,1.0,20.0,0.0,0.98,High,High,False
Elle&Vire,3480341000636,Carré Frais - Nature,198.76,831.61,2.5,2.5,15.0,11.0,12.0,2.88,1.2,0.48,3.0,13.0,0.0,1.0,Medium,Low,False
Hellmann's,8718114724485,Mayonnaise,106.14,444.09,0.2,0.18,11.06,0.88,0.15,2.6,0.21,0.08,4.0,8.0,78.1,0.9,Medium,Low,True
Peripella,6111250474405,Peripella,554.6,2320.45,53.0,52.0,35.0,4.3,5.1,3.6,0.13,0.05,4.0,24.0,1.41,0.98,High,High,True
Unknown Brand,6111242102767,Unknown Product,126.6,529.69,14.9,14.9,5.0,0.0,4.2,2.6,0.0,0.0,4.0,4.0,0.0,1.0,Medium,Medium,True
alpro,5411188103387,Vanille au soja,69.1,289.11,8.4,7.5,2.1,0.4,3.7,0.9,0.0,0.0,4.0,0.0,0.27,0.89,Low,Medium,True
