brand,product_code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
Ryvita,5050974000822,Thins Multi-Seed Flatbreads,433.5,1813.76,56.2,2.9,14.1,3.3,16.4,8.1,1.54,0.62,4.0,10.0,3.46,0.05,High,Low,True
"Knorr, Morrisons",8712566479665,Vegetable Stock Pot 8 x imp,101.1,423.0,6.5,4.1,5.3,2.7,6.2,1.3,14.36,5.74,4.0,4.0,27.07,0.63,Medium,Low,True
Ovomaltine,7612100914199,Ovomaltine Céréal Energy,73.6,307.94,15.6,10.2,0.4,0.2,1.9,0.0,0.1,0.04,4.0,15.0,0.0,0.65,Low,Medium,True
Nairn's,61232200545,Fine milled oatcakes,461.9,1932.59,55.0,0.9,19.9,8.6,10.9,9.6,1.67,0.67,3.0,16.0,0.0,0.02,High,Low,False
"Cappy, Coca-Cola",5449000203823,Pulpy pècne,36.8,153.97,7.9,7.9,0.0,0.0,0.0,2.6,0.01,0.0,4.0,12.0,5.5,1.0,Low,Medium,True
Star,6111184006413,Sauce pizza,57.7,241.42,11.2,10.0,0.1,0.0,1.5,3.0,2.0,0.8,4.0,11.0,32.14,0.89,Low,Medium,True
Aiguebelle,6111017046548,Aiguebelle,536.0,2242.62,47.0,44.0,36.0,22.0,5.2,1.6,11.0,4.4,3.8,48.0,4.4,0.94,High,High,False
Chergui,6111126005221,JBEN CHERGUI,194.0,811.7,2.8,0.1,16.0,11.2,8.4,2.6,0.6,0.24,4.0,11.0,0.0,0.04,Medium,Low,True
efor,6111250472265,Assaisonnement aromatise au citron,4.16,17.41,0.14,0.14,0.0,0.0,0.0,1.8,0.0,0.0,2.2,10.6,0.0,1.0,Low,Low,False
Unknown Brand,6923815199025,Dtink happy ana,82.0,343.09,13.7,0.0,2.0,2.0,2.3,0.0,0.03,0.01,3.2,2.0,0.0,0.0,Low,Low,False
Hacendado,8402001014512,Sticks Vegetales,491.6,2056.85,65.6,2.3,23.6,2.5,3.3,1.8,2.3,0.92,4.0,19.0,2.0,0.04,High,Low,True
Coke ZÉRO®,5000112611762,PET 1.25L C.COLA ZERO,5.2,21.76,0.0,0.0,0.0,0.0,0.0,2.6,0.01,0.0,4.0,4.0,0.0,0.0,Low,Low,True
LU,7622210449313,Prince Multicéréales Goût Chocolat Au Blé Complet,459.6,1922.97,68.0,31.0,17.0,5.1,6.4,4.5,0.66,0.26,4.0,19.0,5.86,0.46,High,High,True
RIANS,3184670001080,faisselle,75.7,316.73,4.5,4.5,4.5,2.9,4.3,0.0,0.1,0.04,3.0,2.0,0.0,1.0,Low,Low,False
Knorr,3034450001123,Viandox 160ml,54.3,227.19,6.8,2.5,0.5,0.1,5.4,0.5,21.0,8.4,4.0,20.0,0.62,0.37,Low,Low,True
Pulco,3124480185266,BLE 70CL ORANGE CITRON PULCO,156.4,654.38,37.5,36.7,0.0,0.0,0.3,2.6,0.01,0.0,4.0,6.0,52.86,0.98,Medium,High,True
Le Ster,3322680010290,Crêpes de Landerneau,407.4,1704.56,57.0,24.0,16.0,9.1,8.2,1.3,1.7,0.68,3.0,28.0,0.0,0.42,High,High,False
"St yorre,VichyST Yorre",3100881040809,ST YORRE Eau Minérale Naturelle Naturellement Gazeuse 1.15 L,272.22,1138.97,31.88,3.62,12.1,3.36,7.6,2.7,0.43,0.17,1.0,2.0,0.0,0.11,Medium,Low,False
Alter Eco,3700214614266,Chocolat noir Pérou 90%,656.4,2746.38,19.0,11.0,58.0,35.0,8.1,13.0,0.0,0.0,3.0,16.0,0.0,0.58,High,Medium,False
Schar,8008698011065,Gluten free,262.4,1097.88,36.0,0.9,9.2,1.1,4.5,8.8,1.0,0.4,4.0,2.0,0.0,0.02,Medium,Low,True
"Ferrero, Nutella",8000500310397,Nutella biscuits fergulf,516.0,2158.94,64.0,35.8,24.8,11.5,7.9,2.6,0.56,0.22,4.0,28.0,13.0,0.56,High,High,True
Dorset cereals,5018357012350,Dorset cereals nutty muesli,415.3,1737.62,54.4,8.4,14.3,2.0,13.2,8.1,0.03,0.01,4.0,-2.0,52.9,0.15,High,Medium,True
Yeo Valley,5036589255550,Yoghurt,76.0,317.98,4.9,4.9,3.8,2.5,4.2,2.7,0.12,0.05,1.0,2.0,0.0,1.0,Low,Low,False
Ryvita,5050974505297,Simply Sesame,47.3,197.9,7.9,0.3,0.7,0.1,1.4,1.9,0.07,0.03,3.0,-3.0,0.0,0.04,Low,Low,False
Nairn’s,612322000387,Original Oatcakes,475.2,1988.24,52.1,0.8,22.8,9.1,11.2,8.4,1.62,0.65,3.0,17.0,0.0,0.02,High,Low,False
By Sainsbury's,130530,Wholewheat biscuits,360.4,1507.91,68.6,4.4,2.0,0.6,12.0,10.0,0.28,0.11,3.0,-3.0,0.0,0.06,High,Low,False
Unknown Brand,6111029000415,Unknown Product,400.0,1673.6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,1.0,High,High,False
Pringles,5053990161607,Pringles Paprika,521.6,2182.37,54.0,3.2,30.0,2.8,6.7,4.4,0.0,0.0,4.0,4.0,0.0,0.06,High,Low,True
Milbona (Lidl),20577391,Natural  greek yogurt,49.6,207.53,4.1,4.0,0.0,0.0,8.3,0.0,0.0,0.0,1.0,-2.0,0.0,0.98,Low,Low,False
Bjorg,3229820116716,Muesli aux fruits,358.0,1497.87,60.0,10.0,6.0,2.5,11.0,10.0,0.02,0.01,3.0,-1.0,19.5,0.17,High,Medium,False
Capri-Sun,4000177158319,Multivitamin Capri-Sun,29.2,122.17,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.7,1.0,Low,Medium,True
OLUF LORENTZEN AS,8010721001509,Parmigiano Reggiano Revet Fersk Parmesan DOP 60g,398.0,1665.23,0.0,0.92,30.0,20.0,32.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,High,Low,False
"DANONE, Gervais, Gervais suisse nature 145165",3033491451652,"Le petit suisse gervais nature 9,5 % 60 g x 12",146.46,612.79,4.5,4.5,9.5,6.7,9.3,2.88,0.08,0.03,3.0,5.0,0.0,1.0,Medium,Low,False
la boulangère,3760049798890,Pain au lait bio x12 420g,345.4,1445.15,51.0,8.7,11.0,1.2,9.4,2.4,0.9,0.36,4.0,11.0,0.0,0.17,High,Medium,True
Hacendado,8480000674166,Crema Al Cacao,544.4,2277.77,56.0,53.48,33.0,8.92,4.4,2.9,0.13,0.05,4.0,19.8,4.0,0.96,High,High,True
"Ready break, Weetabix",5010029219494,Super smooth porridge imp,363.7,1521.72,58.0,0.42,8.7,0.54,12.0,2.7,57.0,22.8,1.0,3.6,0.0,0.01,High,Low,False
Ambrosia,5000354800870,Devon Custard,97.5,407.94,14.8,10.6,2.9,1.5,2.8,0.5,0.11,0.04,4.0,4.0,0.0,0.72,Low,Medium,True
Nature Valley,8410076901033,Protein Salted Caramel Nut,496.3,2076.52,26.3,16.1,29.5,7.1,26.0,10.8,0.88,0.35,4.0,2.0,0.0,0.61,High,High,True
Fuel,5060201621805,FUEL10K Protein Boosted Chunky Chocolate Granola imp,440.9,1844.73,60.4,17.5,13.7,2.8,15.8,6.4,0.03,0.01,4.0,8.0,2.2,0.29,High,High,True
Tesco,5054402006486,Rice Snaps,115.8,484.51,25.4,1.5,0.4,0.1,2.4,0.5,0.2,0.08,3.0,5.0,0.0,0.06,Medium,Low,False
Hacendado,8480000805317,Tortitas Avena 6,184.0,769.86,27.2,1.1,3.6,1.1,9.1,3.2,29.65,11.86,4.0,1.0,0.0,0.04,Medium,Low,True
Bisto,5000354919527,Bisto Gravy Granules,397.9,1664.81,59.8,12.2,16.3,11.2,1.7,2.6,14.33,5.73,4.0,37.0,0.02,0.2,High,Medium,True
Coop,5000128981330,Chocolate For Change Single Origin 85% Cocoa Dark Chocolate,627.2,2624.2,26.0,17.0,52.0,31.0,8.8,10.0,0.01,0.0,4.0,16.0,0.0,0.65,High,High,True
Sainsburys Taste the Difference,392754,Madagascan Dark Chocolate,591.1,2473.16,30.6,19.9,45.5,27.7,9.4,10.8,0.09,0.04,3.0,17.0,0.0,0.65,High,High,False
Unknown Brand,6223000496022,Hohos,423.4,1771.51,65.0,41.0,16.0,8.0,4.3,1.1,0.42,0.17,4.0,25.0,0.0,0.63,High,High,True
Danone,6111032009412,Danone max red fruit,58.5,244.76,10.9,7.7,0.9,0.6,1.7,0.0,0.0,0.0,3.0,1.2,0.0,0.71,Low,Medium,False
Sprite,90399794,Sprite,90.44,378.4,16.45,0.0,0.4,0.0,3.96,2.6,24.93,9.97,4.0,2.4,0.0,0.0,Low,Low,True
Unknown Brand,9111445000027,Unknown Product,76.7,320.91,4.64,3.76,4.34,0.76,3.42,2.7,31.7,12.68,1.0,0.0,0.0,0.81,Low,Low,False
idna,6111271800054,العين,105.82,442.75,14.18,16.3,2.14,1.16,6.32,2.28,0.04,0.01,3.4,0.0,0.0,1.15,Medium,High,False
Harrys,3228857000913,Pain de mie nature,266.3,1114.2,48.0,7.7,4.3,0.4,7.0,3.8,1.1,0.44,4.0,7.0,4.4,0.16,Medium,Medium,True
Lu,5410041040807,Pim's - Framboise,396.2,1657.7,65.0,48.0,13.0,5.8,3.4,2.8,0.45,0.18,4.0,24.0,3.4,0.74,High,High,True
"Lactalis, Salakis",3023260030928,Salakis 100% Brebis,276.96,1158.8,0.8,0.8,22.8,16.2,15.7,2.88,2.8,1.12,3.0,10.0,0.0,1.0,Medium,Low,False
LU,3392460510050,LU - Grany pommes,421.8,1764.81,70.0,24.0,13.0,3.8,4.7,3.0,0.62,0.25,4.0,17.0,12.6,0.34,High,High,True
Garden Gourmet,7613035694958,GARDEN GOURMET Carré gourmand Tomates et mozzarella 160g,191.9,802.91,17.9,3.5,8.3,1.8,9.8,3.2,0.9,0.36,4.0,2.0,45.55,0.2,Medium,Low,True
Chantesel,20020811,Sel fin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,2.0,11.6,0.0,0.0,Low,Low,False
Saupiquet,3165958350014,Filets de Maquereaux au Vin Blanc,164.8,689.52,0.9,0.5,12.0,2.8,12.0,2.6,1.1,0.44,4.0,4.0,10.5,0.56,Medium,Low,True
Hacendado,8480000823281,100% Integral,235.6,985.75,37.0,2.9,3.2,0.7,11.0,7.4,1.0,0.4,4.0,-2.0,0.0,0.08,Medium,Low,True
Gullon,8410376002201,Galleta ligera sin sal y sin azúcar,390.2,1632.6,58.0,2.8,13.0,1.5,9.0,2.6,0.01,0.0,4.0,3.0,0.0,0.05,High,Low,True
Crownfield,4056489254157,bio organic oat flakes,363.9,1522.56,55.1,1.2,6.9,1.0,14.2,12.3,0.01,0.0,3.4,-7.0,0.0,0.02,High,Low,False
Whole Earth,5013665113157,Peanut Butter,645.5,2700.77,9.2,4.2,54.5,7.2,26.3,6.5,1.0,0.4,3.0,4.0,96.0,0.46,High,Low,False
Quaker,5000108030553,Oat So Simple Golden Syrup Flavour Porridge,377.1,1577.79,67.0,18.0,6.5,1.2,9.0,7.3,0.56,0.22,4.0,8.0,0.0,0.27,High,High,True
Yeo Valley,5036589201687,Family Farm Greek Style Natural,117.7,492.46,4.9,4.9,8.3,5.5,4.5,2.7,0.1,0.04,1.0,6.0,0.0,1.0,Medium,Low,False
Loyd Grossman,5000354168550,Tomato & Basil Sauce,63.4,265.27,7.2,6.0,3.0,0.2,1.5,0.8,0.72,0.29,3.0,-1.0,92.99,0.83,Low,Medium,False
"Rivercote, Lidl",40874302,Sesame Crispbread with a naturally nutty flavour,369.1,1544.31,57.4,3.7,6.3,1.0,12.3,16.8,0.55,0.22,3.0,-3.0,0.0,0.06,High,Low,False
RYVITA,5050974503712,PUMPKIN SEED & OAT CRISPBREAD,48.3,202.09,7.0,0.4,1.1,0.2,1.7,1.8,0.06,0.02,3.0,-3.0,12.0,0.06,Low,Low,False
Knorr,5000184161165,Vegetable Stock cubes 8 x imp,315.8,1321.31,16.0,6.4,27.0,12.0,2.2,0.0,47.21,18.88,4.0,4.0,3.13,0.4,High,Medium,True
Tesco - The Grower's Harvest,5057545744765,Porridge Oats,375.5,1571.09,60.4,1.5,8.1,1.6,11.0,8.5,0.01,0.0,1.0,-4.0,0.0,0.02,High,Low,False
Unknown Brand,4088600054513,Unknown Product,266.6,1115.45,2.9,2.1,26.0,4.9,3.6,3.3,0.86,0.34,4.0,9.0,83.29,0.72,Medium,Low,True
Andros,3608580890898,Gourmand vegetal brasse nature,74.5,311.71,7.0,0.6,4.9,4.1,0.6,0.0,0.09,0.04,4.0,4.0,23.0,0.09,Low,Low,True
Bjorg,3229820784939,Lait de coco fluide,176.0,736.38,1.0,0.5,18.0,16.0,1.2,2.6,0.06,0.02,4.0,16.0,66.67,0.5,Medium,Low,True
Harrys,3228857001118,Pain 100% mie nature sans sucre ajouté,262.0,1096.21,44.7,5.6,5.0,0.4,7.1,4.9,1.0,0.4,4.0,4.0,6.3,0.13,Medium,Medium,True
"Baresa, Barrsa, Freshona",20884260,passierte Tomate,34.86,145.85,4.9,4.0,0.3,0.0,1.7,2.88,0.62,0.25,3.0,-1.0,99.5,0.82,Low,Low,False
Alesto,20615420,Paahdettu maapähkinä,609.4,2549.73,11.1,5.3,51.8,7.9,24.7,0.0,0.04,0.02,3.0,-3.0,75.0,0.48,High,Medium,False
Fanta,5449000004840,Fanta Orange,18.0,75.31,4.5,4.5,0.0,0.0,0.0,0.0,0.02,0.01,4.0,8.0,0.0,1.0,Low,Low,True
Marie,3166352967211,Petites gambas compotée de tomates Tagliatelles au pesto,129.5,541.83,15.0,1.7,4.5,0.9,6.7,1.1,0.82,0.33,3.0,3.0,27.61,0.11,Medium,Low,False
"Hacendado, Mercadona",8480000094926,Linnea V 0% Azúcares añadidos,366.5,1533.44,60.0,26.0,9.3,5.1,6.8,7.8,0.11,0.04,3.0,10.0,47.0,0.43,High,High,False
"Vitasia, LIDL VITASIA",20170196,LIDL VITASIA Sweet Chilli sauce - VITASIA - 700ml 1.49€ 1l 2.13€,156.5,654.8,38.1,34.8,0.1,0.1,0.4,0.8,3.13,1.25,4.0,26.0,11.0,0.91,Medium,High,True
Hacendado,8480000808950,Tortilla con cebolla,195.56,818.22,17.0,1.4,11.0,1.7,5.7,2.88,1.1,0.44,3.0,6.0,9.0,0.08,Medium,Low,False
Kania,4056489470847,Ketchup bete,99.3,415.47,22.0,19.5,0.1,0.0,1.3,2.6,1.57,0.63,4.0,13.0,27.38,0.89,Low,High,True
Tesco,5000436589341,Whole milk,137.6,575.72,9.4,9.4,7.4,4.8,7.0,2.7,0.22,0.09,1.0,4.0,0.0,1.0,Medium,Medium,False
délice,6191496000026,Eau minérale naturelle,247.52,1035.62,18.32,5.66,8.12,1.88,23.94,2.7,185.02,74.01,1.0,0.0,0.0,0.31,Medium,Medium,False
"Morrisons,Unilever",50184439,Bovril Beef and Yeast Extract,211.1,883.24,13.0,2.2,1.1,0.5,37.0,0.6,7.5,3.0,4.0,22.0,0.0,0.17,Medium,Low,True
Hacendado,8402001012174,Espelta Sabor Manzana,347.3,1453.1,55.0,4.8,6.1,0.7,6.1,24.0,0.6,0.24,4.0,0.0,18.71,0.09,High,Low,True
Huel,5060495113291,Chocolate,79.4,332.21,6.5,0.6,3.8,1.0,4.0,1.6,0.18,0.07,4.0,4.8,3.7,0.09,Low,Low,True
"Worldwide Foods, Aldi, Aldi Worldwide Foods",4088600206721,Good Grains Spanish Style Grains,185.5,776.13,26.6,1.2,5.9,0.6,4.2,4.6,0.54,0.22,3.0,0.0,12.0,0.05,Medium,Low,False
Centrale Danone,6111206000788,Jibi,224.8,940.56,6.9,0.0,19.0,13.0,6.5,0.1,0.8,0.32,2.8,13.0,0.0,0.0,Medium,Low,False
Perly,9111445002175,Perly orange,115.9,484.93,11.5,4.56,3.9,0.84,7.4,2.6,1.3,0.52,4.0,5.6,4.1,0.4,Medium,Low,True
Crosta&Mollica,5060198644177,Pizza,240.56,1006.5,29.3,2.64,8.4,2.1,10.5,2.88,1.07,0.43,3.0,6.8,16.71,0.09,Medium,Low,False
Unknown Brand,6111243860413,Ice Pulpe Orange 1.5cl,44.12,184.6,9.7,4.0,0.0,0.0,0.03,2.6,5.49,2.2,4.0,30.0,25.33,0.41,Low,Low,True
Unknown Brand,8437019482329,Unknown Product,276.78,1158.05,34.65,1.66,13.58,4.52,2.64,2.7,6.25,2.5,1.0,0.0,20.0,0.05,Medium,Low,False
Unknown Brand,6111092000343,tomakas,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
Nestlé,3023291122005,Yaos Yaourt à la Grecque Nature 4 x 150g,97.5,407.94,3.5,3.5,7.9,5.3,3.1,0.0,0.12,0.05,3.0,6.0,0.0,1.0,Low,Low,False
Lucien Georgelin,3330720237378,Pâte à tartiner bio noisette cacao,560.6,2345.55,56.0,55.0,33.0,3.0,8.6,2.6,0.13,0.05,4.0,23.0,41.5,0.98,High,High,True
"Nestlé, Ricore",3033710071005,"RICORE au Lait, Café & Chicorée, Boîte 400g",433.5,1813.76,53.0,39.0,15.5,9.6,15.0,11.0,1.0,0.4,4.0,8.0,18.77,0.74,High,High,True
Carrefour,3270190113508,Eau de source de montagne d'auvergne,5.4,22.59,0.0,0.0,0.0,0.0,0.0,2.7,0.68,0.27,1.0,0.0,0.0,0.0,Low,Low,False
Bjorg,3229820181424,Boisson Noisette,68.7,287.44,5.5,4.0,4.5,0.4,1.0,1.1,0.05,0.02,4.0,9.0,6.5,0.73,Low,Low,True
Ethiquable,3760091726667,Chocolat noir 80% Équateur intense et floral,612.6,2563.12,28.0,19.0,49.0,29.0,9.9,10.0,0.0,0.0,3.0,17.0,0.0,0.68,High,High,False
Lesieur,3011360030498,Mayonnaise Classique à l'huile de colza,650.4,2721.27,2.8,2.0,70.0,5.5,1.0,2.6,1.3,0.52,4.0,18.0,68.5,0.71,High,Low,True
Maribel,20000691,"Raspberry fruit spread, raspberry",47.5,198.74,11.4,11.4,0.1,0.1,0.0,0.5,0.0,0.0,4.0,16.0,60.0,1.0,Low,Medium,True
Saupiquet,3165950211726,Filet de maquereaux au naturel,214.76,898.56,0.5,0.5,15.0,3.9,18.0,2.88,1.2,0.48,3.0,3.0,0.0,1.0,Medium,Low,False
Alpro,5411188122661,"Alpro Mandeldrink Weiß Ungesüßt, Ungeröstet 1 LT",12.3,51.46,0.0,0.0,1.1,0.1,0.5,0.2,0.14,0.06,4.0,1.0,2.3,0.0,Low,Low,True
mercadona,8480000607225,Chocolate 85%,597.0,2497.85,20.0,14.0,49.0,30.0,12.0,14.0,0.03,0.01,4.0,15.0,0.0,0.7,High,Medium,True
Lizi's,5060092030977,High Protein Granola Nuts & Seeds,442.2,1850.16,40.7,10.3,17.6,3.1,26.9,6.7,0.81,0.32,4.0,11.0,22.06,0.25,High,Medium,True
French's,41500007229,Mostassa groga clàssica,0.8,3.35,0.05,0.0,0.04,0.0,0.04,0.04,0.03,0.01,4.0,2.8,0.0,0.0,Low,Low,True
Tesco,5057967342082,Wholemeal tortilla wraps,279.4,1169.01,45.7,3.3,5.2,2.5,9.0,6.9,0.9,0.36,4.0,2.0,0.0,0.07,Medium,Low,True
merchant gourmet,5018095196596,Glorious grains,183.2,766.51,32.0,0.7,2.8,0.5,5.5,4.0,0.04,0.02,3.0,-1.0,3.12,0.02,Medium,Low,False
Acti Leaf,4061459332896,Almond No Sugars,38.3,160.25,0.5,0.0,3.3,0.5,1.5,0.3,0.32,0.13,4.0,1.0,2.3,0.0,Low,Low,True
Jaouda,6111242109544,jaouda p'tit dej honey,100.5,420.49,13.3,9.0,3.7,2.4,3.0,1.0,0.2,0.08,4.0,5.0,0.14,0.68,Medium,Medium,True
"Coca-Cola, Coca-Cola Company",5449000311856,Unknown Product,115.44,483.0,6.66,6.0,6.16,1.96,7.04,2.6,42.0,16.8,4.0,5.2,3.0,0.9,Medium,Medium,True
Bjorg,3229820791074,Biscuits fourrés aux framboises,431.6,1805.81,67.0,38.0,15.0,3.0,5.5,3.3,0.48,0.19,4.0,19.0,0.8,0.57,High,High,True
Bonne Maman,3608580823452,Confiture Abricot INTENSE,164.2,687.01,39.0,39.0,0.2,0.0,0.8,1.6,0.0,0.0,4.0,11.0,71.88,1.0,Medium,High,True
Mars Wrigley,5000159492737,M&M's peanut,518.4,2168.99,60.0,53.0,26.0,11.0,9.8,2.6,0.11,0.04,4.0,31.0,23.75,0.88,High,High,True
"Elle & Vire, Savencia",3451790011245,Le Beurre Doux Leger 41%MG Barquette,383.0,1602.47,3.2,0.4,41.0,24.9,0.3,0.0,0.31,0.12,4.0,17.0,0.0,0.12,High,Low,True
Mont blanc,8024884600301,MONT BLANC Eau Minérale Naturelle 1.50 L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,1.0,0.0,0.0,0.0,Low,Low,False
"Côte d'Or, Mondelēz",7622400013935,Noir 86% Extra intense,636.0,2661.02,18.0,13.0,56.0,35.0,8.5,13.0,0.02,0.01,4.0,15.0,0.0,0.72,High,Medium,True
"Maille, Unilever",8711200584383,Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,367.2,1536.36,6.3,5.5,37.0,3.3,1.9,0.7,1.8,0.72,3.0,16.0,0.0,0.87,High,Medium,False
Upfield,8719200031524,"Fruit D’or Riche En Oméga 3 (sans Huile De Palme, 100% Végétal)",455.2,1904.56,0.0,0.2,50.0,10.0,0.0,2.6,0.5,0.2,4.0,7.0,23.0,0.0,High,Low,True
"Choco Nussa,Lidl",20003548,Unknown Product,548.9,2296.6,57.3,56.1,33.3,6.4,3.7,2.6,0.0,0.0,4.0,27.0,28.04,0.98,High,High,True
"Savencia, Tartare",3272770014656,Tartare Ail & Fines herbes,338.56,1416.54,2.2,2.2,32.0,22.0,9.0,2.88,1.0,0.4,3.0,15.0,2.6,1.0,High,Low,False
Fin Carré,20005825,Milk Chocolate,534.4,2235.93,57.7,56.3,30.2,18.4,7.0,1.9,0.93,0.37,4.0,35.0,0.69,0.98,High,High,True
Carrefour,3560070879762,Le pain au Seigle,219.8,919.64,42.0,3.4,1.2,0.3,7.1,6.3,1.2,0.48,4.0,2.0,0.0,0.08,Medium,Low,True
"Ferrero,Nutella",4008400401829,Nutella Vorratsglas,538.5,2253.08,57.5,56.3,30.9,10.6,6.3,2.6,0.11,0.04,4.0,31.0,13.0,0.98,High,High,True
"Fin Carré, Lidl",20815356,Dunkle Schokolade mit ganzen Haselnüssen,586.7,2454.75,34.4,30.0,44.3,17.9,8.6,8.0,0.01,0.0,4.0,20.0,13.33,0.87,High,High,True
Kellogg's,5050083296079,Cereales special K original,391.7,1638.87,84.0,15.0,1.3,0.3,8.0,6.0,0.84,0.34,3.0,9.0,0.0,0.18,High,Medium,False
alpro,5411188114536,Soja à la fraise,67.7,283.26,8.1,7.9,2.1,0.4,3.6,1.0,0.23,0.09,4.0,2.0,15.72,0.98,Low,Medium,True
Mutti,8005110630408,Passata di Pomodoro,34.36,143.76,5.1,4.34,0.2,0.1,1.6,2.88,0.47,0.19,3.0,-1.0,99.5,0.85,Low,Low,False
Plenish,5060362070474,Organic & unsweetened Almond,29.5,123.43,0.5,0.0,2.5,0.2,1.0,0.5,0.1,0.04,3.0,2.0,6.0,0.0,Low,Low,False
Bellarom,4056489440628,Freeze Dried Instant Coffee,106.28,444.68,16.1,7.2,2.48,4.2,3.54,2.7,32.56,13.02,1.0,8.8,0.0,0.45,Medium,Medium,False
Nairn's,61232201047,Stem ginger oat biscuits,437.4,1830.08,65.9,17.2,14.4,5.9,8.1,5.9,0.91,0.36,4.0,16.0,0.0,0.26,High,High,True
Crosta & Mollica,5060198640643,Oregano Crostini Italian Bread Bites,467.6,1956.44,67.0,1.5,17.0,2.3,10.0,3.3,2.0,0.8,3.0,15.0,23.44,0.02,High,Low,False
Lizi's,5060043224486,Original Nuts & Seeds imp,470.8,1969.83,50.7,7.2,22.6,5.0,12.5,7.3,0.03,0.01,4.0,7.0,17.75,0.14,High,Medium,True
Unknown Brand,6111024001226,HuilOr - RICHE EN Vitamine E Oméga 3 et 6,902.0,3773.97,0.0,0.0,100.0,12.6,0.0,1.0,0.0,0.0,3.2,20.0,0.0,0.0,High,Low,False
Petit Navire,3019081239640,Thon entier au naturel Albacore,114.76,480.16,0.0,0.0,1.0,0.5,25.0,2.88,1.0,0.4,3.0,-2.0,0.0,0.0,Medium,Low,False
Marie,3248830000150,Pâte à tarte feuilletée - Pur beurre,379.6,1588.25,37.0,0.5,23.0,15.0,5.4,1.5,1.2,0.48,3.0,19.0,0.0,0.01,High,Low,False
Ovo maltine,7612100018477,Ovomaltine crunchy,541.2,2264.38,59.5,54.5,32.0,5.0,3.8,0.0,0.2,0.08,4.0,25.0,10.97,0.92,High,High,True
Côte d'Or,7622210869616,Chocolat Bio noir 85%,610.0,2552.24,24.0,14.0,50.0,30.0,10.0,12.0,0.12,0.05,3.0,15.0,0.0,0.58,High,Medium,False
Gerblé,3175681135895,Moelleux chocolat noix,451.4,1888.66,49.0,13.0,23.0,3.0,7.3,9.6,0.23,0.09,4.0,6.0,21.2,0.27,High,Medium,True
"Nestlé, Nestlé Waters, San Pellegrino",8002270015328,Eau minérale naturelle gazeuse 50cl PET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,2.0,0.0,0.0,0.0,Low,Low,False
MailleUnilever,3250541920139,MAILLE Mayonnaise Fins Gourmets Bocal 320g,651.0,2723.78,0.8,0.5,71.0,5.8,1.9,0.6,1.5,0.6,4.0,20.0,52.88,0.62,High,Low,True
"Nestlé, Lion",3387390019995,NESTLE LION céréales 400g​,405.4,1696.19,73.1,24.5,7.4,1.1,8.1,7.0,0.48,0.19,4.0,11.0,0.0,0.34,High,High,True
Mercadona,8480000293145,Bebida de Soja,44.78,187.36,0.87,0.87,2.46,0.44,4.5,0.58,0.14,0.06,3.0,-4.0,14.0,1.0,Low,Low,False
Gullón,8410376009408,Doradas al horno sin azúcares,466.0,1949.74,68.0,0.5,18.0,1.5,6.0,4.0,0.4,0.16,4.0,4.0,0.0,0.01,High,Low,True
"Crownfield, Lidl",4056489296805,Bio Knusper Müsli Früchte,440.8,1844.31,63.5,15.8,14.6,4.1,9.7,8.3,0.2,0.08,4.0,8.0,5.26,0.25,High,High,True
Lidl,20002268,Mozzarella,252.76,1057.55,1.5,1.5,19.0,12.9,17.5,2.88,0.49,0.2,3.0,8.0,0.0,1.0,Medium,Low,False
Nature Valley,8410076600837,Crunchy oats and honey,467.7,1956.86,64.3,26.8,18.1,2.2,8.7,6.4,0.85,0.34,4.0,14.0,0.0,0.42,High,High,True
Hellmann's,8722700479451,Light mayonnaise,264.0,1104.58,6.1,2.3,26.0,2.6,0.1,2.6,1.67,0.67,4.0,9.0,25.08,0.38,Medium,Low,True
Heinz,5000157024855,Beanz in a rich tomato sauce,185.9,777.81,31.3,8.7,0.7,0.1,9.7,7.8,1.2,0.48,4.0,-4.0,86.37,0.28,Medium,Medium,True
Napolina,5000232844217,Chickpeas in water,157.0,656.89,23.4,0.0,2.2,0.3,7.2,7.4,0.02,0.01,1.0,-7.0,80.0,0.0,Medium,Low,False
Heinz,5000157072023,5 rodzajów fasoli w sosie pomidorowym,86.4,361.5,13.6,4.7,0.2,0.0,5.4,4.3,0.6,0.24,4.0,-5.0,89.15,0.35,Low,Low,True
